test_subject,accuracy,precision,recall,f1,best_val_acc
S01,0.03571428571428571,0.028571428571428574,0.03571428571428571,0.031746031746031744,0.9502487562189055
S02,0.1875,0.17795698924731182,0.1875,0.1345490258533737,0.9552238805970149
S03,0.36607142857142855,0.22613378684807253,0.36607142857142855,0.26597301166266685,0.9353233830845771
S04,0.15178571428571427,0.14734753550543025,0.15178571428571427,0.13612667289137878,0.9701492537313433
S05,0.25,0.33706618240516545,0.25,0.1913772971875317,0.9800995024875622
S06,0.16071428571428573,0.19477102435176968,0.16071428571428573,0.1330583210801427,0.9850746268656716
S07,0.1875,0.13964063886424136,0.1875,0.12141181399245916,0.9800995024875622
S08,0.25,0.22173730160000185,0.25,0.21274378194096846,0.9502487562189055
S09,0.26785714285714285,0.2511904761904762,0.26785714285714285,0.24571495264772578,0.9850746268656716
S10,0.29464285714285715,0.1655970715940731,0.29464285714285715,0.19458671716736234,0.9751243781094527
